Time (sec),Velocity (m/s),Force (N)
2.21,0.40419,0.55489
2.22,0.38313,0.44063
2.23,0.34737,0.32463
2.24,0.42532,0.20734
2.25,0.42666,0.089223
2.26,0.4805,0
2.27,0.4162,0
2.28,0.43765,0
2.29,0.42034,0
2.3,0.48099,0
2.31,0.46355,0
2.32,0.40698,0
2.33,0.41133,-0.4421
2.34,0.47797,-1.4303
2.35,0.35778,-1.1103
2.36,0.39791,-0.98107
2.37,0.29503,-1.21
2.38,0.28186,-1.3513
2.39,0.34304,-1.3919
2.4,0.31159,-1.457
2.41,0.31027,-1.5408
2.42,0.20283,-1.6085
2.43,0.26169,-1.6636
2.44,0.19496,-1.7154
2.45,0.15889,-1.762
2.46,0.22005,-1.8005
2.47,0.18131,-1.8316
2.48,-0.029582,-1.8558
2.49,0.074054,-1.8727
2.5,-0.013174,-1.8822
2.51,-0.012573,-1.8841
2.52,-0.056178,-1.8787
2.53,0.030058,-1.8658
2.54,-0.015537,-1.8456
2.55,-0.075873,-1.8181
2.56,-0.094029,-1.7834
2.57,-0.13127,-1.7416
2.58,-0.14428,-1.693
2.59,-0.18944,-1.6377
2.6,-0.23358,-1.5759
2.61,-0.22095,-1.5078
2.62,-0.28248,-1.4339
2.63,-0.30622,-1.3542
2.64,-0.31831,-1.2692
2.65,-0.32626,-1.1792
2.66,-0.33715,-1.0845
2.67,-0.22525,-0.98558
2.68,-0.42583,-0.88272
2.69,-0.42957,-0.77637
2.7,-0.37344,-0.66695
2.71,-0.39644,-0.55489
2.72,-0.43695,-0.44063
2.73,-0.38897,-0.32463
2.74,-0.37088,-0.20734
2.75,-0.46774,-0.089223
2.76,-0.43033,0
2.77,-0.47375,0
2.78,-0.40459,0
2.79,-0.4,0
2.8,-0.37348,0
2.81,-0.46134,0
2.82,-0.39157,0
2.83,-0.41228,0.4421
2.84,-0.3194,1.4303
2.85,-0.35442,1.1103
2.86,-0.38187,0.98107
2.87,-0.3504,1.21
2.88,-0.34677,1.3513
2.89,-0.22795,1.3919
2.9,-0.30473,1.457
2.91,-0.33771,1.5408
2.92,-0.24455,1.6085
2.93,-0.15361,1.6636
2.94,-0.1532,1.7154
2.95,-0.15306,1.762
2.96,-0.046319,1.8005
2.97,-0.13884,1.8316
2.98,-0.07002,1.8558
2.99,-0.099821,1.8727
3,-0.068734,1.8822
3.01,-0.019621,1.8841
3.02,0.056847,1.8787
3.03,0.15387,1.8658
3.04,0.11754,1.8456
3.05,0.050083,1.8181
3.06,0.11894,1.7834
3.07,0.12646,1.7416
3.08,0.16383,1.693
3.09,0.26101,1.6377
3.1,0.24352,1.5759
3.11,0.29592,1.5078
3.12,0.29716,1.4339
3.13,0.24686,1.3542
3.14,0.35136,1.2692
3.15,0.25434,1.1792
3.16,0.37754,1.0845
3.17,0.38182,0.98558
3.18,0.41969,0.88272
3.19,0.305,0.77637
3.2,0.37556,0.66695
3.21,0.3948,0.55489
3.22,0.40546,0.44063
3.23,0.44914,0.32463
3.24,0.44356,0.20734
3.25,0.44265,0.089223
3.26,0.41887,0
3.27,0.49316,0
3.28,0.39252,0
3.29,0.41325,0
3.3,0.37877,0
3.31,0.40395,0
3.32,0.44272,0
3.33,0.34374,-0.4421
3.34,0.39854,-1.4303
3.35,0.33302,-1.1103
3.36,0.39443,-0.98107
3.37,0.24068,-1.21
3.38,0.22219,-1.3513
3.39,0.38111,-1.3919
3.4,0.27171,-1.457
3.41,0.15895,-1.5408
3.42,0.15018,-1.6085
3.43,0.20644,-1.6636
3.44,0.20173,-1.7154
3.45,0.17814,-1.762
3.46,0.18894,-1.8005
3.47,0.12611,-1.8316
3.48,0.079297,-1.8558
3.49,0.10862,-1.8727
3.5,0.13228,-1.8822
3.51,0.0037388,-1.8841
3.52,-0.036492,-1.8787
3.53,0.00075784,-1.8658
3.54,-0.10295,-1.8456
3.55,-0.17779,-1.8181
3.56,-0.13452,-1.7834
3.57,-0.14192,-1.7416
3.58,-0.17119,-1.693
3.59,-0.2579,-1.6377
3.6,-0.2545,-1.5759
3.61,-0.28032,-1.5078
3.62,-0.21923,-1.4339
3.63,-0.29304,-1.3542
3.64,-0.27235,-1.2692
3.65,-0.29193,-1.1792
3.66,-0.34718,-1.0845
3.67,-0.45088,-0.98558
3.68,-0.34652,-0.88272
3.69,-0.34079,-0.77637
3.7,-0.42337,-0.66695
3.71,-0.39475,-0.55489
3.72,-0.42252,-0.44063
3.73,-0.32025,-0.32463
3.74,-0.41006,-0.20734
3.75,-0.39986,-0.089223
3.76,-0.46233,0
3.77,-0.44612,0
3.78,-0.4766,0
3.79,-0.37176,0
3.8,-0.37725,0
3.81,-0.44844,0
3.82,-0.26206,0
3.83,-0.35915,0.4421
3.84,-0.36871,1.4303
3.85,-0.27395,1.1103
3.86,-0.4778,0.98107
3.87,-0.3435,1.21
3.88,-0.3212,1.3513
3.89,-0.2899,1.3919
3.9,-0.33109,1.457
3.91,-0.2309,1.5408
3.92,-0.34535,1.6085
3.93,-0.20542,1.6636
3.94,-0.16442,1.7154
3.95,-0.16331,1.762
3.96,-0.11737,1.8005
3.97,-0.14764,1.8316
3.98,-0.055495,1.8558
3.99,-0.074961,1.8727
4,-0.1123,1.8822
4.01,-0.017916,1.8841
4.02,-0.0065314,1.8787
4.03,-6.3641e-05,1.8658
4.04,0.10284,1.8456
4.05,0.10566,1.8181
4.06,0.11646,1.7834
4.07,0.12679,1.7416
4.08,0.26231,1.693
4.09,0.26065,1.6377
4.1,0.2152,1.5759
4.11,0.25067,1.5078
4.12,0.34261,1.4339
4.13,0.37617,1.3542
4.14,0.35995,1.2692
4.15,0.30556,1.1792
4.16,0.30841,1.0845
4.17,0.38942,0.98558
4.18,0.32148,0.88272
4.19,0.32244,0.77637
4.2,0.36798,0.66695
4.21,0.4417,0.55489
4.22,0.4084,0.44063
4.23,0.41757,0.32463
4.24,0.46477,0.20734
4.25,0.42178,0.089223
4.26,0.35301,0
4.27,0.45146,0
4.28,0.43259,0
4.29,0.40377,0
4.3,0.38695,0
4.31,0.37979,0
4.32,0.40524,0
4.33,0.36508,-0.4421
4.34,0.36339,-1.4303
4.35,0.29542,-1.1103
4.36,0.32908,-0.98107
4.37,0.30429,-1.21
4.38,0.34884,-1.3513
4.39,0.37265,-1.3919
4.4,0.33095,-1.457
4.41,0.30971,-1.5408
4.42,0.2683,-1.6085
4.43,0.23812,-1.6636
4.44,0.22386,-1.7154
4.45,0.12477,-1.762
4.46,0.17725,-1.8005
4.47,0.049531,-1.8316
4.48,0.11391,-1.8558
4.49,0.014609,-1.8727
4.5,-0.019187,-1.8822
4.51,-0.020271,-1.8841
4.52,-0.089601,-1.8787
4.53,-0.050367,-1.8658
4.54,-0.022058,-1.8456
4.55,-0.11611,-1.8181
4.56,-0.10441,-1.7834
4.57,-0.14608,-1.7416
4.58,-0.11789,-1.693
4.59,-0.20992,-1.6377
4.6,-0.21,-1.5759
4.61,-0.12296,-1.5078
4.62,-0.20967,-1.4339
4.63,-0.3332,-1.3542
4.64,-0.24883,-1.2692
4.65,-0.36807,-1.1792
4.66,-0.33706,-1.0845
4.67,-0.33737,-0.98558
4.68,-0.32117,-0.88272
4.69,-0.39585,-0.77637
4.7,-0.35885,-0.66695
4.71,-0.30542,-0.55489
4.72,-0.49571,-0.44063
4.73,-0.45916,-0.32463
4.74,-0.34878,-0.20734
4.75,-0.42475,-0.089223
4.76,-0.41185,0
4.77,-0.36316,0
4.78,-0.29762,0
4.79,-0.47328,0
4.8,-0.45305,0
4.81,-0.4109,0
4.82,-0.40642,0
4.83,-0.39977,0.4421
4.84,-0.40462,1.4303
4.85,-0.30878,1.1103
4.86,-0.40049,0.98107
4.87,-0.32875,1.21
4.88,-0.27047,1.3513
4.89,-0.28114,1.3919
4.9,-0.31028,1.457
4.91,-0.25134,1.5408
4.92,-0.25036,1.6085
4.93,-0.24077,1.6636
4.94,-0.1187,1.7154
4.95,-0.17114,1.762
4.96,-0.16449,1.8005
4.97,-0.14726,1.8316
4.98,-0.076912,1.8558
4.99,-0.13102,1.8727
5,-0.11165,1.8822
5.01,0.0072407,1.8841
5.02,-0.040023,1.8787
5.03,0.031173,1.8658
5.04,0.11636,1.8456
5.05,0.14974,1.8181
5.06,0.20643,1.7834
5.07,0.1037,1.7416
5.08,0.22131,1.693
5.09,0.21826,1.6377
5.1,0.28727,1.5759
5.11,0.25735,1.5078
5.12,0.30775,1.4339
5.13,0.34348,1.3542
5.14,0.28423,1.2692
5.15,0.2988,1.1792
5.16,0.2711,1.0845
5.17,0.34747,0.98558
5.18,0.38244,0.88272
5.19,0.33883,0.77637
5.2,0.38934,0.66695
5.21,0.37608,0.55489
5.22,0.37886,0.44063
5.23,0.44429,0.32463
5.24,0.44935,0.20734
5.25,0.46747,0.089223
5.26,0.35569,0
5.27,0.40255,0
5.28,0.44153,0
5.29,0.34351,0
5.3,0.50394,0
5.31,0.41869,0
5.32,0.37919,0
5.33,0.45675,-0.4421
5.34,0.40785,-1.4303
5.35,0.37522,-1.1103
5.36,0.321,-0.98107
5.37,0.25068,-1.21
5.38,0.27178,-1.3513
5.39,0.26762,-1.3919
5.4,0.3018,-1.457
5.41,0.28809,-1.5408
5.42,0.19523,-1.6085
5.43,0.2522,-1.6636
5.44,0.21973,-1.7154
5.45,0.15499,-1.762
5.46,0.088028,-1.8005
5.47,0.15406,-1.8316
5.48,0.076486,-1.8558
5.49,0.0055551,-1.8727
5.5,0.041952,-1.8822
5.51,0.028583,-1.8841
5.52,-0.097547,-1.8787
5.53,0.042154,-1.8658
5.54,-0.18504,-1.8456
5.55,-0.1854,-1.8181
5.56,-0.067999,-1.7834
5.57,-0.13792,-1.7416
5.58,-0.19992,-1.693
5.59,-0.20142,-1.6377
5.6,-0.18808,-1.5759
5.61,-0.28974,-1.5078
5.62,-0.22058,-1.4339
5.63,-0.25164,-1.3542
5.64,-0.30708,-1.2692
5.65,-0.3123,-1.1792
5.66,-0.36899,-1.0845
5.67,-0.39467,-0.98558
5.68,-0.3841,-0.88272
5.69,-0.32456,-0.77637
5.7,-0.39773,-0.66695
5.71,-0.41649,-0.55489
5.72,-0.4494,-0.44063
5.73,-0.46199,-0.32463
5.74,-0.40742,-0.20734
5.75,-0.35804,-0.089223
5.76,-0.34837,0
5.77,-0.38135,0
5.78,-0.42422,0
5.79,-0.42657,0
5.8,-0.38932,0
5.81,-0.36015,0
5.82,-0.35773,0
5.83,-0.51106,0.4421
5.84,-0.39132,1.4303
5.85,-0.4181,1.1103
5.86,-0.37857,0.98107
5.87,-0.25219,1.21
5.88,-0.35884,1.3513
5.89,-0.38409,1.3919
5.9,-0.27033,1.457
5.91,-0.26359,1.5408
5.92,-0.25527,1.6085
5.93,-0.16682,1.6636
5.94,-0.15805,1.7154
5.95,-0.14246,1.762
5.96,-0.14944,1.8005
5.97,-0.091954,1.8316
5.98,-0.097537,1.8558
5.99,-0.046925,1.8727
6,-0.00050788,1.8822
6.01,0.014579,1.8841
6.02,-0.0091756,1.8787
6.03,0.024315,1.8658
6.04,0.025583,1.8456
6.05,0.1535,1.8181
6.06,0.1279,1.7834
6.07,0.12133,1.7416
6.08,0.21237,1.693
6.09,0.17646,1.6377
6.1,0.24695,1.5759
6.11,0.32217,1.5078
6.12,0.31387,1.4339
6.13,0.2785,1.3542
6.14,0.29913,1.2692
6.15,0.41871,1.1792
6.16,0.32901,1.0845
6.17,0.3669,0.98558
6.18,0.38097,0.88272
6.19,0.42223,0.77637
6.2,0.39651,0.66695
6.21,0.41222,0.55489
6.22,0.41655,0.44063
6.23,0.53977,0.32463
6.24,0.45233,0.20734
6.25,0.36623,0.089223
6.26,0.34907,0
6.27,0.32861,0
6.28,0.50078,0
6.29,0.36724,0
6.3,0.45721,0
6.31,0.43371,0
6.32,0.33011,0
6.33,0.50625,-0.4421
6.34,0.41661,-1.4303
6.35,0.46077,-1.1103
6.36,0.37214,-0.98107
6.37,0.34793,-1.21
6.38,0.269,-1.3513
6.39,0.30178,-1.3919
6.4,0.28603,-1.457
6.41,0.18132,-1.5408
6.42,0.23355,-1.6085
6.43,0.21895,-1.6636
6.44,0.1503,-1.7154
6.45,0.18179,-1.762
6.46,0.074957,-1.8005
6.47,0.080771,-1.8316
6.48,0.088241,-1.8558
6.49,0.025975,-1.8727
6.5,0.050428,-1.8822
6.51,-0.015736,-1.8841
6.52,-0.068171,-1.8787
6.53,-0.0045862,-1.8658
6.54,-0.047589,-1.8456
6.55,-0.075069,-1.8181
6.56,-0.094944,-1.7834
6.57,-0.10371,-1.7416
6.58,-0.12894,-1.693
6.59,-0.20032,-1.6377
6.6,-0.24716,-1.5759
6.61,-0.25187,-1.5078
6.62,-0.20509,-1.4339
6.63,-0.3464,-1.3542
6.64,-0.33304,-1.2692
6.65,-0.26969,-1.1792
6.66,-0.29525,-1.0845
6.67,-0.37662,-0.98558
6.68,-0.37501,-0.88272
6.69,-0.38377,-0.77637
6.7,-0.39951,-0.66695
6.71,-0.51607,-0.55489
6.72,-0.42181,-0.44063
6.73,-0.38987,-0.32463
6.74,-0.28595,-0.20734
6.75,-0.48318,-0.089223
6.76,-0.44172,0
6.77,-0.42863,0
6.78,-0.45589,0
6.79,-0.44188,0
6.8,-0.50382,0
6.81,-0.41264,0
6.82,-0.43237,0
6.83,-0.37836,0.4421
6.84,-0.38613,1.4303
6.85,-0.31647,1.1103
6.86,-0.27397,0.98107
6.87,-0.33286,1.21
6.88,-0.38186,1.3513
6.89,-0.28769,1.3919
6.9,-0.20927,1.457
6.91,-0.26214,1.5408
6.92,-0.21511,1.6085
6.93,-0.2591,1.6636
6.94,-0.1109,1.7154
6.95,-0.14107,1.762
6.96,-0.1567,1.8005
6.97,-0.19316,1.8316
6.98,-0.11735,1.8558
6.99,-0.10759,1.8727
7,-0.053966,1.8822
7.01,0.014936,1.8841
7.02,0.065933,1.8787
7.03,0.058948,1.8658
7.04,0.081777,1.8456
7.05,0.12237,1.8181
7.06,0.26186,1.7834
7.07,0.17082,1.7416
7.08,0.18552,1.693
7.09,0.28089,1.6377
7.1,0.22913,1.5759
7.11,0.21269,1.5078
7.12,0.31358,1.4339
7.13,0.26861,1.3542
7.14,0.31492,1.2692
7.15,0.36567,1.1792
7.16,0.37795,1.0845
7.17,0.27167,0.98558
7.18,0.24657,0.88272
7.19,0.3409,0.77637
7.2,0.46834,0.66695
7.21,0.40566,0.55489
7.22,0.39285,0.44063
7.23,0.39753,0.32463
7.24,0.46044,0.20734
7.25,0.42658,0.089223
7.26,0.43373,0
7.27,0.30483,0
7.28,0.40007,0
7.29,0.40915,0
7.3,0.3646,0
7.31,0.40588,0
7.32,0.37633,0
7.33,0.44861,-0.4421
7.34,0.36046,-1.4303
7.35,0.43499,-1.1103
7.36,0.35288,-0.98107
7.37,0.38373,-1.21
7.38,0.4342,-1.3513
7.39,0.30324,-1.3919
7.4,0.35391,-1.457
7.41,0.20374,-1.5408
7.42,0.32566,-1.6085
7.43,0.15037,-1.6636
7.44,0.18309,-1.7154
7.45,0.14492,-1.762
7.46,0.078131,-1.8005
7.47,0.044057,-1.8316
7.48,0.11529,-1.8558
7.49,-0.013231,-1.8727
7.5,-0.037696,-1.8822
7.51,0.058848,-1.8841
7.52,-0.024381,-1.8787
7.53,-0.032182,-1.8658
7.54,-0.12266,-1.8456
7.55,-0.11348,-1.8181
7.56,-0.11385,-1.7834
7.57,-0.14581,-1.7416
7.58,-0.089075,-1.693
7.59,-0.2332,-1.6377
7.6,-0.23215,-1.5759
7.61,-0.20473,-1.5078
7.62,-0.21958,-1.4339
7.63,-0.38519,-1.3542
7.64,-0.32441,-1.2692
7.65,-0.35569,-1.1792
7.66,-0.33835,-1.0845
7.67,-0.32608,-0.98558
7.68,-0.34243,-0.88272
7.69,-0.31894,-0.77637
7.7,-0.36336,-0.66695
7.71,-0.37813,-0.55489
7.72,-0.35316,-0.44063
