Time (sec),Velocity (m/s),Force (N)
9.67,-0.33053,-0.98558
9.68,-0.44495,-0.88272
9.69,-0.33067,-0.77637
9.7,-0.37327,-0.66695
9.71,-0.29919,-0.55489
9.72,-0.45606,-0.44063
9.73,-0.44142,-0.32463
9.74,-0.49614,-0.20734
9.75,-0.40987,-0.089223
9.76,-0.36018,0
9.77,-0.4333,0
9.78,-0.43473,0
9.79,-0.42292,0
9.8,-0.41563,0
9.81,-0.35585,0
9.82,-0.40565,0
9.83,-0.42924,0.4421
9.84,-0.35726,1.4303
9.85,-0.43798,1.1103
9.86,-0.32508,0.98107
9.87,-0.34928,1.21
9.88,-0.21299,1.3513
9.89,-0.33234,1.3919
9.9,-0.258,1.457
9.91,-0.25147,1.5408
9.92,-0.28853,1.6085
9.93,-0.16701,1.6636
9.94,-0.29768,1.7154
9.95,-0.25857,1.762
9.96,-0.20107,1.8005
9.97,-0.044177,1.8316
9.98,-0.033773,1.8558
9.99,-0.1188,1.8727
10,-0.038326,1.8822
